epoch,train_loss,train_acc,val_loss,val_acc
1,1.2881871359552546,0.45657859621030156,0.9977765211302061,0.629012192087584
2,1.0368831358625312,0.5350947424606352,1.0286948385153223,0.5563573028116446
3,0.8916919536580395,0.563864424873232,1.061834773960384,0.471759144065688
4,0.7380226949453036,0.6065118761676007,1.052072266762338,0.5150534958945011
5,0.6078152808947088,0.6527888977848946,1.0229389984295065,0.5464045782532968
6,0.49544538830419144,0.7049372831598613,1.0368336211036289,0.570042299079373
7,0.40639572082470665,0.7534560982119028,1.0821312598607884,0.5989052002985817
8,0.32448353433341764,0.7953562850280225,1.2216475445644628,0.570042299079373
9,0.26311070237647766,0.8327728849746464,1.2485629919305552,0.592933565563573
10,0.23071336178961582,0.8544435548438751,1.1680221105576984,0.6394625528738492
11,0.18492995139170654,0.8883907125700561,1.1739002142002346,0.6949489922866384
12,0.17811824986942298,0.8934080597811582,1.1882653672782957,0.7098780791241602
13,0.16222142786551133,0.9055777955697891,1.240263426769548,0.7063946255287384
14,0.14092951601255344,0.914278089137977,1.3615460471597944,0.708385170440408
15,0.13068749651646883,0.9239925273552175,1.3177521348474155,0.7173426225429211
